/global_subject_pose.header.seq ,/global_subject_pose.header.stamp.secs ,/global_subject_pose.translation.x ,/global_subject_pose.translation.y ,/global_subject_pose.translation.z ,/global_subject_pose.rotation.x ,/global_subject_pose.rotation.y ,/global_subject_pose.rotation.z ,/relative_subject_pose.header.seq ,/relative_subject_pose.header.stamp.secs ,/relative_subject_pose.translation.x ,/relative_subject_pose.translation.y ,/relative_subject_pose.translation.z ,/relative_subject_pose.rotation.x ,/relative_subject_pose.rotation.y ,/relative_subject_pose.rotation.z ,/task_waypose.translation.x ,/task_waypose.translation.y ,/task_waypose.translation.z ,/task_waypose.rotation.x ,/task_waypose.rotation.y ,/task_waypose.rotation.z
10426 , 1366653843 , 0.859938797628 , -3.13928562206e-05 , 0.985817800775 , 0.000214027990138 , 0.0124440767715 , 6.09055594852 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10427 , 1366653843 , 0.860106471046 , -0.000504292082625 , 0.985540273367 , 0.00225474044181 , 0.0108055225876 , 6.09156216231 , 29 , 1366653833 , 0.0 , 0.0 , 1.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10428 , 1366653843 , 0.860380079156 , -0.000637310496328 , 0.986127505033 , 0.00166237756713 , 0.015632884743 , 6.09365445382 , 29 , 1366653833 , 0.0 , 0.0 , 1.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10429 , 1366653843 , 0.860173819852 , -0.000840167727915 , 0.985731534855 , 0.0035248023465 , 0.0138489197031 , 6.09249964591 , 29 , 1366653833 , 0.0 , 0.0 , 1.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10430 , 1366653843 , 0.861238954745 , -0.00112126276512 , 0.986160554469 , -0.000552408539053 , 0.0214861097612 , 6.10900413143 , 29 , 1366653833 , 0.0 , 0.0 , 1.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10431 , 1366653843 , 0.861255170764 , -0.00158530120351 , 0.986164457955 , -0.000566576246116 , 0.0150265853869 , 6.11000273265 , 29 , 1366653833 , 0.0 , 0.0 , 1.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10432 , 1366653843 , 0.860385007279 , -0.00152616193038 , 0.985939673874 , 0.00230659568507 , 0.016269090724 , 6.09053933956 , 29 , 1366653833 , 0.0 , 0.0 , 1.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10433 , 1366653843 , 0.860925093023 , -0.00176694352037 , 0.985918220936 , 0.00283931803645 , 0.0107614452454 , 6.09295379732 , 29 , 1366653833 , 0.0 , 0.0 , 1.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10434 , 1366653843 , 0.861120873403 , -0.00210250754373 , 0.986165049225 , 0.00532161164719 , 0.0139032681139 , 6.09461578889 , 29 , 1366653833 , 0.0 , 0.0 , 1.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10435 , 1366653843 , 0.860972960089 , -0.00245281424807 , 0.986232414393 , 0.00439463732183 , 0.0138205714194 , 6.0910234512 , 589 , 1366653843 , 0.0258019037222 , -0.00176694352037 , 0.985918220936 , 0.00283931803645 , 0.0107614452454 , 6.09295379732 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10436 , 1366653843 , 0.861213901242 , -0.00249399531996 , 0.986035624439 , 0.00466555453381 , 0.0139256909055 , 6.09368073549 , 589 , 1366653843 , 0.0258019037222 , -0.00176694352037 , 0.985918220936 , 0.00283931803645 , 0.0107614452454 , 6.09295379732 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10437 , 1366653843 , 0.861337473056 , -0.00272837044853 , 0.986124640621 , 0.00751918647421 , 0.0172719450509 , 6.09238088884 , 589 , 1366653843 , 0.0258019037222 , -0.00176694352037 , 0.985918220936 , 0.00283931803645 , 0.0107614452454 , 6.09295379732 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10438 , 1366653843 , 0.861593674358 , -0.0029112764238 , 0.986187236515 , 0.00582480048164 , 0.0164960475952 , 6.09584464736 , 589 , 1366653843 , 0.0258019037222 , -0.00176694352037 , 0.985918220936 , 0.00283931803645 , 0.0107614452454 , 6.09295379732 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10439 , 1366653843 , 0.861567654394 , -0.00323703161556 , 0.985712962296 , 0.0018198926188 , 0.00670811099456 , 6.08853123628 , 589 , 1366653843 , 0.0258019037222 , -0.00176694352037 , 0.985918220936 , 0.00283931803645 , 0.0107614452454 , 6.09295379732 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10440 , 1366653843 , 0.862063863968 , -0.00324709330038 , 0.986449281951 , 0.00811271989634 , 0.0165954472415 , 6.09345044129 , 589 , 1366653843 , 0.0258019037222 , -0.00176694352037 , 0.985918220936 , 0.00283931803645 , 0.0107614452454 , 6.09295379732 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
10441 , 1366653843 , 0.862016118459 , -0.00362676473103 , 0.986294194285 , 0.00553725955384 , 0.0141642600459 , 6.09163130413 , 589 , 1366653843 , 0.0258019037222 , -0.00176694352037 , 0.985918220936 , 0.00283931803645 , 0.0107614452454 , 6.09295379732 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
