# Throwing Arguments: 1.25	1.19	7	0.5	-5	6	9.8
# focalDist = 180

# The theoretical term a,b,c of the quadratic function
-0.196, 1.544, -1.894
# The detected positions
17
0.000000, 1.075000, 4.500000
0.004762, 0.890476, 3.428571
0.005882, 1.194118, 4.235294
0.000000, 1.140000, 3.600000
0.000000, 1.200000, 3.600000
0.004000, 1.036000, 2.880000
0.007692, 1.023077, 2.769231
0.004000, 1.068000, 2.880000
0.000000, 0.957143, 2.571429
0.003448, 0.920690, 2.482759
0.005882, 0.723529, 2.117647
0.000000, 0.622222, 2.000000
0.002439, 0.485366, 1.756098
0.000000, 0.325000, 1.500000
0.000000, 0.200000, 1.500000
0.000000, 0.010526, 0.947368
0.001449, -0.157971, 1.043478
# The Real Positions
17
0.000000, 1.056086, 4.610000
0.000000, 1.094986, 4.440000
0.000000, 1.123196, 4.265000
0.000000, 1.143221, 3.890000
0.000000, 1.119551, 3.590000
0.000000, 1.047346, 3.240000
0.000000, 0.994948, 3.070000
0.000000, 0.935284, 2.910000
0.000000, 0.834403, 2.685000
0.000000, 0.672071, 2.390000
0.000000, 0.446361, 2.055000
0.000000, 0.306915, 1.875000
0.000000, 0.172301, 1.715000
0.000000, 0.022969, 1.550000
0.000000, -0.167273, 1.355000
0.000000, -0.356111, 1.175000
0.000000, -0.717139, 0.860000


# Display the detected positions or not? Yes(Y) No(N)
Y
# Display the real positions or not? Yes(Y) No(N)
Y
# Display the theoretical trajectory or not? Yes(Y) No(N)
Y
# The type of the display of the trendlines: Rrecursive(R) Only One(O) No(N)
N
# Display the predicated trajectory or not? Yes(Y) No(N)
N

