UAV_method,start_threshold,number_nodes,ground_width,ground_height,network_type,time_limit,number_task
least_power,0.3,10,10,10,homogeneous,604800,127
least_power_k,0.3,10,10,10,homogeneous,604800,127
least_power_partition,0.3,10,10,10,homogeneous,604800,126
least_power,0.4,10,10,10,homogeneous,604800,128
least_power_k,0.4,10,10,10,homogeneous,604800,129
least_power_partition,0.4,10,10,10,homogeneous,604800,128
least_power,0.5,10,10,10,homogeneous,604800,130
least_power_k,0.5,10,10,10,homogeneous,604800,128
least_power_partition,0.5,10,10,10,homogeneous,604800,129
least_power,0.6,10,10,10,homogeneous,604800,129
least_power_k,0.6,10,10,10,homogeneous,604800,129
least_power_partition,0.6,10,10,10,homogeneous,604800,130
least_power,0.7,10,10,10,homogeneous,604800,134
least_power_k,0.7,10,10,10,homogeneous,604800,136
least_power_partition,0.7,10,10,10,homogeneous,604800,131
least_power,0.8,10,10,10,homogeneous,604800,132
least_power_k,0.8,10,10,10,homogeneous,604800,131
least_power_partition,0.8,10,10,10,homogeneous,604800,154
least_power,0.3,10,10,10,homogeneous2,604800,130
least_power_k,0.3,10,10,10,homogeneous2,604800,133
least_power_partition,0.3,10,10,10,homogeneous2,604800,130
least_power,0.4,10,10,10,homogeneous2,604800,130
least_power_k,0.4,10,10,10,homogeneous2,604800,132
least_power_partition,0.4,10,10,10,homogeneous2,604800,130
least_power,0.5,10,10,10,homogeneous2,604800,132
least_power_k,0.5,10,10,10,homogeneous2,604800,131
least_power_partition,0.5,10,10,10,homogeneous2,604800,132
least_power,0.6,10,10,10,homogeneous2,604800,132
least_power_k,0.6,10,10,10,homogeneous2,604800,132
least_power_partition,0.6,10,10,10,homogeneous2,604800,132
least_power,0.7,10,10,10,homogeneous2,604800,133
least_power_k,0.7,10,10,10,homogeneous2,604800,133
least_power_partition,0.7,10,10,10,homogeneous2,604800,133
least_power,0.8,10,10,10,homogeneous2,604800,134
least_power_k,0.8,10,10,10,homogeneous2,604800,134
least_power_partition,0.8,10,10,10,homogeneous2,604800,149
least_power,0.3,10,100,100,homogeneous,604800,125
least_power_k,0.3,10,100,100,homogeneous,604800,127
least_power_partition,0.3,10,100,100,homogeneous,604800,126
least_power,0.4,10,100,100,homogeneous,604800,126
least_power_k,0.4,10,100,100,homogeneous,604800,125
least_power_partition,0.4,10,100,100,homogeneous,604800,126
least_power,0.5,10,100,100,homogeneous,604800,130
least_power_k,0.5,10,100,100,homogeneous,604800,126
least_power_partition,0.5,10,100,100,homogeneous,604800,129
least_power,0.6,10,100,100,homogeneous,604800,129
least_power_k,0.6,10,100,100,homogeneous,604800,128
least_power_partition,0.6,10,100,100,homogeneous,604800,129
least_power,0.7,10,100,100,homogeneous,604800,131
least_power_k,0.7,10,100,100,homogeneous,604800,131
least_power_partition,0.7,10,100,100,homogeneous,604800,131
least_power,0.8,10,100,100,homogeneous,604800,133
least_power_k,0.8,10,100,100,homogeneous,604800,131
least_power_partition,0.8,10,100,100,homogeneous,604800,145
least_power,0.3,10,100,100,homogeneous2,604800,128
least_power_k,0.3,10,100,100,homogeneous2,604800,128
least_power_partition,0.3,10,100,100,homogeneous2,604800,129
least_power,0.4,10,100,100,homogeneous2,604800,129
least_power_k,0.4,10,100,100,homogeneous2,604800,129
least_power_partition,0.4,10,100,100,homogeneous2,604800,129
least_power,0.5,10,100,100,homogeneous2,604800,130
least_power_k,0.5,10,100,100,homogeneous2,604800,129
least_power_partition,0.5,10,100,100,homogeneous2,604800,130
