UAV_method,start_threshold,number_nodes,ground_width,ground_height,network_type,time_limit,number_task
least_power,0.1,5,10,10,homogeneous,604800,51
least_power_k,0.1,5,10,10,homogeneous,604800,51
least_power_partition,0.1,5,10,10,homogeneous,604800,51
least_power,0.2,5,10,10,homogeneous,604800,51
least_power_k,0.2,5,10,10,homogeneous,604800,51
least_power_partition,0.2,5,10,10,homogeneous,604800,51
least_power,0.3,5,10,10,homogeneous,604800,54
least_power_k,0.3,5,10,10,homogeneous,604800,54
least_power_partition,0.3,5,10,10,homogeneous,604800,54
least_power,0.4,5,10,10,homogeneous,604800,57
least_power_k,0.4,5,10,10,homogeneous,604800,57
least_power_partition,0.4,5,10,10,homogeneous,604800,57
least_power,0.5,5,10,10,homogeneous,604800,52
least_power_k,0.5,5,10,10,homogeneous,604800,52
least_power_partition,0.5,5,10,10,homogeneous,604800,52
least_power,0.6,5,10,10,homogeneous,604800,62
least_power_k,0.6,5,10,10,homogeneous,604800,62
least_power_partition,0.6,5,10,10,homogeneous,604800,62
least_power,0.7,5,10,10,homogeneous,604800,74
least_power_k,0.7,5,10,10,homogeneous,604800,72
least_power_partition,0.7,5,10,10,homogeneous,604800,73
least_power,0.8,5,10,10,homogeneous,604800,63
least_power_k,0.8,5,10,10,homogeneous,604800,63
least_power_partition,0.8,5,10,10,homogeneous,604800,63
least_power,0.1,5,10,10,homogeneous2,604800,52
least_power_k,0.1,5,10,10,homogeneous2,604800,53
least_power_partition,0.1,5,10,10,homogeneous2,604800,53
least_power,0.2,5,10,10,homogeneous2,604800,52
least_power_k,0.2,5,10,10,homogeneous2,604800,54
least_power_partition,0.2,5,10,10,homogeneous2,604800,52
least_power,0.3,5,10,10,homogeneous2,604800,54
least_power_k,0.3,5,10,10,homogeneous2,604800,54
least_power_partition,0.3,5,10,10,homogeneous2,604800,54
least_power,0.4,5,10,10,homogeneous2,604800,57
least_power_k,0.4,5,10,10,homogeneous2,604800,57
least_power_partition,0.4,5,10,10,homogeneous2,604800,57
least_power,0.5,5,10,10,homogeneous2,604800,53
least_power_k,0.5,5,10,10,homogeneous2,604800,53
least_power_partition,0.5,5,10,10,homogeneous2,604800,53
least_power,0.6,5,10,10,homogeneous2,604800,63
least_power_k,0.6,5,10,10,homogeneous2,604800,63
least_power_partition,0.6,5,10,10,homogeneous2,604800,63
least_power,0.7,5,10,10,homogeneous2,604800,73
least_power_k,0.7,5,10,10,homogeneous2,604800,73
least_power_partition,0.7,5,10,10,homogeneous2,604800,73
least_power,0.8,5,10,10,homogeneous2,604800,64
least_power_k,0.8,5,10,10,homogeneous2,604800,64
least_power_partition,0.8,5,10,10,homogeneous2,604800,64
least_power,0.1,5,100,100,homogeneous,604800,51
least_power_k,0.1,5,100,100,homogeneous,604800,51
least_power_partition,0.1,5,100,100,homogeneous,604800,51
least_power,0.2,5,100,100,homogeneous,604800,51
least_power_k,0.2,5,100,100,homogeneous,604800,53
least_power_partition,0.2,5,100,100,homogeneous,604800,51
least_power,0.3,5,100,100,homogeneous,604800,54
least_power_k,0.3,5,100,100,homogeneous,604800,54
least_power_partition,0.3,5,100,100,homogeneous,604800,54
least_power,0.4,5,100,100,homogeneous,604800,57
least_power_k,0.4,5,100,100,homogeneous,604800,57
least_power_partition,0.4,5,100,100,homogeneous,604800,57
least_power,0.5,5,100,100,homogeneous,604800,52
least_power_k,0.5,5,100,100,homogeneous,604800,53
least_power_partition,0.5,5,100,100,homogeneous,604800,52
least_power,0.6,5,100,100,homogeneous,604800,62
least_power_k,0.6,5,100,100,homogeneous,604800,62
least_power_partition,0.6,5,100,100,homogeneous,604800,62
least_power,0.7,5,100,100,homogeneous,604800,76
least_power_k,0.7,5,100,100,homogeneous,604800,75
least_power_partition,0.7,5,100,100,homogeneous,604800,78
least_power,0.8,5,100,100,homogeneous,604800,63
least_power_k,0.8,5,100,100,homogeneous,604800,63
least_power_partition,0.8,5,100,100,homogeneous,604800,63
least_power,0.1,5,100,100,homogeneous2,604800,52
least_power_k,0.1,5,100,100,homogeneous2,604800,51
least_power_partition,0.1,5,100,100,homogeneous2,604800,52
least_power,0.2,5,100,100,homogeneous2,604800,52
least_power_k,0.2,5,100,100,homogeneous2,604800,54
least_power_partition,0.2,5,100,100,homogeneous2,604800,53
least_power,0.3,5,100,100,homogeneous2,604800,54
least_power_k,0.3,5,100,100,homogeneous2,604800,54
least_power_partition,0.3,5,100,100,homogeneous2,604800,54
least_power,0.4,5,100,100,homogeneous2,604800,56
least_power_k,0.4,5,100,100,homogeneous2,604800,56
least_power_partition,0.4,5,100,100,homogeneous2,604800,57
least_power,0.5,5,100,100,homogeneous2,604800,53
least_power_k,0.5,5,100,100,homogeneous2,604800,53
least_power_partition,0.5,5,100,100,homogeneous2,604800,53
least_power,0.6,5,100,100,homogeneous2,604800,63
least_power_k,0.6,5,100,100,homogeneous2,604800,63
least_power_partition,0.6,5,100,100,homogeneous2,604800,63
least_power,0.7,5,100,100,homogeneous2,604800,73
least_power_k,0.7,5,100,100,homogeneous2,604800,73
least_power_partition,0.7,5,100,100,homogeneous2,604800,74
least_power,0.8,5,100,100,homogeneous2,604800,64
least_power_k,0.8,5,100,100,homogeneous2,604800,64
least_power_partition,0.8,5,100,100,homogeneous2,604800,64
least_power,0.1,5,500,500,homogeneous,604800,58
least_power_k,0.1,5,500,500,homogeneous,604800,56
least_power_partition,0.1,5,500,500,homogeneous,604800,57
least_power,0.2,5,500,500,homogeneous,604800,58
least_power_k,0.2,5,500,500,homogeneous,604800,57
least_power_partition,0.2,5,500,500,homogeneous,604800,58
least_power,0.3,5,500,500,homogeneous,604800,57
least_power_k,0.3,5,500,500,homogeneous,604800,58
least_power_partition,0.3,5,500,500,homogeneous,604800,58
least_power,0.4,5,500,500,homogeneous,604800,63
least_power_k,0.4,5,500,500,homogeneous,604800,63
least_power_partition,0.4,5,500,500,homogeneous,604800,63
least_power,0.5,5,500,500,homogeneous,604800,61
least_power_k,0.5,5,500,500,homogeneous,604800,59
least_power_partition,0.5,5,500,500,homogeneous,604800,62
least_power,0.6,5,500,500,homogeneous,604800,65
least_power_k,0.6,5,500,500,homogeneous,604800,63
least_power_partition,0.6,5,500,500,homogeneous,604800,65
