UAV_method,start_threshold,number_nodes,ground_width,ground_height,network_type,time_limit,number_task
least_power,0.3,10,10,10,homogeneous,604800,15
least_power_k,0.3,10,10,10,homogeneous,604800,15
least_power_partition,0.3,10,10,10,homogeneous,604800,15
least_power,0.4,10,10,10,homogeneous,604800,16
least_power_k,0.4,10,10,10,homogeneous,604800,16
least_power_partition,0.4,10,10,10,homogeneous,604800,16
least_power,0.5,10,10,10,homogeneous,604800,19
least_power_k,0.5,10,10,10,homogeneous,604800,19
least_power_partition,0.5,10,10,10,homogeneous,604800,19
least_power,0.6,10,10,10,homogeneous,604800,22
least_power_k,0.6,10,10,10,homogeneous,604800,22
least_power_partition,0.6,10,10,10,homogeneous,604800,22
least_power,0.7,10,10,10,homogeneous,604800,26
least_power_k,0.7,10,10,10,homogeneous,604800,26
least_power_partition,0.7,10,10,10,homogeneous,604800,26
least_power,0.8,10,10,10,homogeneous,604800,32
least_power_k,0.8,10,10,10,homogeneous,604800,33
least_power_partition,0.8,10,10,10,homogeneous,604800,33
least_power,0.3,10,10,10,homogeneous2,604800,15
least_power_k,0.3,10,10,10,homogeneous2,604800,15
least_power_partition,0.3,10,10,10,homogeneous2,604800,15
least_power,0.4,10,10,10,homogeneous2,604800,17
least_power_k,0.4,10,10,10,homogeneous2,604800,17
least_power_partition,0.4,10,10,10,homogeneous2,604800,17
least_power,0.5,10,10,10,homogeneous2,604800,19
least_power_k,0.5,10,10,10,homogeneous2,604800,19
least_power_partition,0.5,10,10,10,homogeneous2,604800,20
least_power,0.6,10,10,10,homogeneous2,604800,22
least_power_k,0.6,10,10,10,homogeneous2,604800,23
least_power_partition,0.6,10,10,10,homogeneous2,604800,23
least_power,0.7,10,10,10,homogeneous2,604800,27
least_power_k,0.7,10,10,10,homogeneous2,604800,27
least_power_partition,0.7,10,10,10,homogeneous2,604800,27
least_power,0.8,10,10,10,homogeneous2,604800,33
least_power_k,0.8,10,10,10,homogeneous2,604800,33
least_power_partition,0.8,10,10,10,homogeneous2,604800,33
least_power,0.3,10,100,100,homogeneous,604800,14
least_power_k,0.3,10,100,100,homogeneous,604800,14
least_power_partition,0.3,10,100,100,homogeneous,604800,14
least_power,0.4,10,100,100,homogeneous,604800,16
least_power_k,0.4,10,100,100,homogeneous,604800,16
least_power_partition,0.4,10,100,100,homogeneous,604800,16
least_power,0.5,10,100,100,homogeneous,604800,19
least_power_k,0.5,10,100,100,homogeneous,604800,18
least_power_partition,0.5,10,100,100,homogeneous,604800,18
least_power,0.6,10,100,100,homogeneous,604800,22
least_power_k,0.6,10,100,100,homogeneous,604800,21
least_power_partition,0.6,10,100,100,homogeneous,604800,21
least_power,0.7,10,100,100,homogeneous,604800,26
least_power_k,0.7,10,100,100,homogeneous,604800,25
least_power_partition,0.7,10,100,100,homogeneous,604800,25
least_power,0.8,10,100,100,homogeneous,604800,32
least_power_k,0.8,10,100,100,homogeneous,604800,31
least_power_partition,0.8,10,100,100,homogeneous,604800,31
least_power,0.3,10,100,100,homogeneous2,604800,15
least_power_k,0.3,10,100,100,homogeneous2,604800,15
least_power_partition,0.3,10,100,100,homogeneous2,604800,15
least_power,0.4,10,100,100,homogeneous2,604800,17
least_power_k,0.4,10,100,100,homogeneous2,604800,17
least_power_partition,0.4,10,100,100,homogeneous2,604800,17
least_power,0.5,10,100,100,homogeneous2,604800,19
least_power_k,0.5,10,100,100,homogeneous2,604800,19
least_power_partition,0.5,10,100,100,homogeneous2,604800,19
least_power,0.6,10,100,100,homogeneous2,604800,22
least_power_k,0.6,10,100,100,homogeneous2,604800,22
least_power_partition,0.6,10,100,100,homogeneous2,604800,22
least_power,0.7,10,100,100,homogeneous2,604800,26
least_power_k,0.7,10,100,100,homogeneous2,604800,26
least_power_partition,0.7,10,100,100,homogeneous2,604800,26
least_power,0.8,10,100,100,homogeneous2,604800,31
least_power_k,0.8,10,100,100,homogeneous2,604800,32
least_power_partition,0.8,10,100,100,homogeneous2,604800,32
least_power,0.3,10,500,500,homogeneous,604800,15
least_power_k,0.3,10,500,500,homogeneous,604800,15
least_power_partition,0.3,10,500,500,homogeneous,604800,15
