UAV_method,start_threshold,number_nodes,ground_width,ground_height,network_type,time_limit,number_task
least_power,0.1,5,10,10,homogeneous,604800,51
least_power_k,0.1,5,10,10,homogeneous,604800,51
least_power_partition,0.1,5,10,10,homogeneous,604800,52
least_power,0.2,5,10,10,homogeneous,604800,51
least_power_k,0.2,5,10,10,homogeneous,604800,51
least_power_partition,0.2,5,10,10,homogeneous,604800,52
least_power,0.3,5,10,10,homogeneous,604800,54
least_power_k,0.3,5,10,10,homogeneous,604800,54
least_power_partition,0.3,5,10,10,homogeneous,604800,54
least_power,0.4,5,10,10,homogeneous,604800,57
least_power_k,0.4,5,10,10,homogeneous,604800,56
least_power_partition,0.4,5,10,10,homogeneous,604800,56
least_power,0.1,5,100,100,homogeneous,604800,51
least_power_k,0.1,5,100,100,homogeneous,604800,51
least_power_partition,0.1,5,100,100,homogeneous,604800,51
least_power,0.2,5,100,100,homogeneous,604800,51
least_power_k,0.2,5,100,100,homogeneous,604800,51
least_power_partition,0.2,5,100,100,homogeneous,604800,52
least_power,0.3,5,100,100,homogeneous,604800,54
least_power_k,0.3,5,100,100,homogeneous,604800,54
least_power_partition,0.3,5,100,100,homogeneous,604800,54
least_power,0.4,5,100,100,homogeneous,604800,57
least_power_k,0.4,5,100,100,homogeneous,604800,56
least_power_partition,0.4,5,100,100,homogeneous,604800,54
least_power,0.1,5,500,500,homogeneous,604800,59
least_power_k,0.1,5,500,500,homogeneous,604800,59
least_power_partition,0.1,5,500,500,homogeneous,604800,58
least_power,0.2,5,500,500,homogeneous,604800,59
least_power_k,0.2,5,500,500,homogeneous,604800,60
least_power_partition,0.2,5,500,500,homogeneous,604800,59
least_power,0.3,5,500,500,homogeneous,604800,60
least_power_k,0.3,5,500,500,homogeneous,604800,60
least_power_partition,0.3,5,500,500,homogeneous,604800,60
least_power,0.4,5,500,500,homogeneous,604800,63
least_power_k,0.4,5,500,500,homogeneous,604800,63
least_power_partition,0.4,5,500,500,homogeneous,604800,63
least_power,0.1,5,1000,1000,homogeneous,604800,67
least_power_k,0.1,5,1000,1000,homogeneous,604800,75
least_power_partition,0.1,5,1000,1000,homogeneous,604800,65
least_power,0.2,5,1000,1000,homogeneous,604800,67
least_power_k,0.2,5,1000,1000,homogeneous,604800,72
least_power_partition,0.2,5,1000,1000,homogeneous,604800,67
least_power,0.3,5,1000,1000,homogeneous,604800,70
least_power_k,0.3,5,1000,1000,homogeneous,604800,68
least_power_partition,0.3,5,1000,1000,homogeneous,604800,69
least_power,0.4,5,1000,1000,homogeneous,604800,68
least_power_k,0.4,5,1000,1000,homogeneous,604800,69
least_power_partition,0.4,5,1000,1000,homogeneous,604800,72
least_power,0.1,10,10,10,homogeneous,604800,102
least_power_k,0.1,10,10,10,homogeneous,604800,102
least_power_partition,0.1,10,10,10,homogeneous,604800,101
least_power,0.2,10,10,10,homogeneous,604800,103
least_power_k,0.2,10,10,10,homogeneous,604800,103
least_power_partition,0.2,10,10,10,homogeneous,604800,102
least_power,0.3,10,10,10,homogeneous,604800,104
least_power_k,0.3,10,10,10,homogeneous,604800,104
least_power_partition,0.3,10,10,10,homogeneous,604800,105
least_power,0.4,10,10,10,homogeneous,604800,103
least_power_k,0.4,10,10,10,homogeneous,604800,104
least_power_partition,0.4,10,10,10,homogeneous,604800,105
least_power,0.1,10,100,100,homogeneous,604800,102
least_power_k,0.1,10,100,100,homogeneous,604800,102
least_power_partition,0.1,10,100,100,homogeneous,604800,101
least_power,0.2,10,100,100,homogeneous,604800,103
least_power_k,0.2,10,100,100,homogeneous,604800,103
least_power_partition,0.2,10,100,100,homogeneous,604800,104
least_power,0.3,10,100,100,homogeneous,604800,104
least_power_k,0.3,10,100,100,homogeneous,604800,104
least_power_partition,0.3,10,100,100,homogeneous,604800,105
least_power,0.4,10,100,100,homogeneous,604800,106
least_power_k,0.4,10,100,100,homogeneous,604800,105
least_power_partition,0.4,10,100,100,homogeneous,604800,105
least_power,0.1,10,500,500,homogeneous,604800,119
least_power_k,0.1,10,500,500,homogeneous,604800,120
least_power_partition,0.1,10,500,500,homogeneous,604800,118
least_power,0.2,10,500,500,homogeneous,604800,120
least_power_k,0.2,10,500,500,homogeneous,604800,120
least_power_partition,0.2,10,500,500,homogeneous,604800,117
least_power,0.3,10,500,500,homogeneous,604800,120
least_power_k,0.3,10,500,500,homogeneous,604800,120
least_power_partition,0.3,10,500,500,homogeneous,604800,122
least_power,0.4,10,500,500,homogeneous,604800,122
least_power_k,0.4,10,500,500,homogeneous,604800,122
least_power_partition,0.4,10,500,500,homogeneous,604800,124
least_power,0.1,10,1000,1000,homogeneous,604800,-1
least_power_k,0.1,10,1000,1000,homogeneous,604800,-1
least_power_partition,0.1,10,1000,1000,homogeneous,604800,-1
least_power,0.2,10,1000,1000,homogeneous,604800,150
least_power_k,0.2,10,1000,1000,homogeneous,604800,171
least_power_partition,0.2,10,1000,1000,homogeneous,604800,144
least_power,0.3,10,1000,1000,homogeneous,604800,154
least_power_k,0.3,10,1000,1000,homogeneous,604800,157
least_power_partition,0.3,10,1000,1000,homogeneous,604800,148
least_power,0.4,10,1000,1000,homogeneous,604800,158
least_power_k,0.4,10,1000,1000,homogeneous,604800,157
least_power_partition,0.4,10,1000,1000,homogeneous,604800,152
least_power,0.1,20,10,10,homogeneous,604800,-1
least_power_k,0.1,20,10,10,homogeneous,604800,-1
least_power_partition,0.1,20,10,10,homogeneous,604800,-1
least_power,0.2,20,10,10,homogeneous,604800,206
least_power_k,0.2,20,10,10,homogeneous,604800,206
least_power_partition,0.2,20,10,10,homogeneous,604800,206
least_power,0.3,20,10,10,homogeneous,604800,207
least_power_k,0.3,20,10,10,homogeneous,604800,207
least_power_partition,0.3,20,10,10,homogeneous,604800,206
least_power,0.4,20,10,10,homogeneous,604800,208
least_power_k,0.4,20,10,10,homogeneous,604800,207
least_power_partition,0.4,20,10,10,homogeneous,604800,207
least_power,0.1,20,100,100,homogeneous,604800,-1
least_power_k,0.1,20,100,100,homogeneous,604800,-1
least_power_partition,0.1,20,100,100,homogeneous,604800,-1
least_power,0.2,20,100,100,homogeneous,604800,207
least_power_k,0.2,20,100,100,homogeneous,604800,206
least_power_partition,0.2,20,100,100,homogeneous,604800,205
